order,zoho_invoice_id,zoho_net,shopify_net,delta,zoho_total,shopify_total,status
49387,3806639000015046590,0,1398,1398,1363.95,1398,large_mismatch
49386,3806639000015082370,0,1398,1398,1363.95,1398,large_mismatch
49385,3806639000015054616,0,1298,1298,1258.95,1298,large_mismatch
49384,3806639000015046583,0,1298,1298,1258.95,1298,large_mismatch
49383,3806639000015043517,0,1298,1298,1258.95,1298,large_mismatch
49382,3806639000015054608,0,1398,1398,1363.95,1398,large_mismatch
49381,3806639000015070463,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49380,3806639000015051785,0,1298,1298,1258.95,1298,large_mismatch
49379,3806639000015081536,0,1082.1,1082.1,1136.21,1082.1,large_mismatch
49378,3806639000015050700,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49377,3806639000015083642,0,1238.05,1238.05,1196,1238.05,large_mismatch
49376,3806639000015074647,0,1298,1298,1258.95,1298,large_mismatch
49375,3806639000015102651,0,1139.05,1139.05,1196,1139.05,large_mismatch
49374,3806639000015045708,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49373,3806639000015082363,0,1398,1398,1363.95,1398,large_mismatch
49372,3806639000015078612,0,1298,1298,1258.95,1298,large_mismatch
49371,3806639000015083600,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49370,3806639000015045699,0,1333.05,1333.05,1295.75,1333.05,large_mismatch
49369,3806639000015077519,0,1398,1398,1363.95,1398,large_mismatch
49368,3806639000015102611,0,1398,1398,1363.95,1398,large_mismatch
49367,3806639000015075549,0,1298,1298,1258.95,1298,large_mismatch
49366,3806639000015053488,0,1398,1398,1363.95,1398,large_mismatch
49365,3806639000015076464,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49364,3806639000015042684,0,1298,1298,1258.95,1298,large_mismatch
49363,3806639000015051704,0,1298,1298,1258.95,1298,large_mismatch
49362,3806639000015048615,0,1398,1398,1363.95,1398,large_mismatch
49361,3806639000015047543,0,2898,2898,2938.95,2898,large_mismatch
49360,3806639000015043464,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49359,3806639000015074598,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
49358,3806639000015076434,0,2898,2898,2938.95,2898,large_mismatch
49357,3806639000015042660,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49356,3806639000015042651,0,1398,1398,1363.95,1398,large_mismatch
